job_title,company,url,experience,salary,location,skills,Role,,job_id
Software Developer,Cyber Infrastructure,https://www.naukri.com/job-listings-software-developer-cyber-infrastructure-p-limited-indore-1-to-3-years-080318501591,1-3 Yrs,Not disclosed,['Indore'],"['IT Skills', 'Software Development', 'Policies', 'PGDCA', 'code', 'technical', 'software', 'developing']",software-developer,,42
Software Developer,Cyber Infrastructure,https://www.naukri.com/job-listings-software-developer-cyber-infrastructure-p-limited-indore-1-to-6-years-080318501590,1-6 Yrs,Not disclosed,['Indore'],"['JS framework', 'analytical', 'Communication', 'PHP', 'DBMS', 'JSON', 'codeigniter', 'YII']",software-developer,,43
Software Developer,Cyber Infrastructure,https://www.naukri.com/job-listings-software-developer-cyber-infrastructure-p-limited-indore-2-to-4-years-080318501589,2-4 Yrs,Not disclosed,['Indore'],"['Code review', 'Coding', 'MySQL', 'PHP', 'microsoft', 'MSC', 'Troubleshooting', 'Sharepoint']",software-developer,,44
Software Developer,Cyber Infrastructure,https://www.naukri.com/job-listings-software-developer-cyber-infrastructure-p-limited-indore-5-to-10-years-060619500821,5-10 Yrs,Not disclosed,['Indore'],"['Performance tuning', 'PGDCA', 'code', 'technical', 'developing', 'cloud', 'Coding', 'web']",software-developer,,45
Software Developer and Business Process Developer,Ideas To Impacts Innovations,https://www.naukri.com/job-listings-software-developer-and-business-process-developer-ideas-to-impacts-innovations-pvt-ltd-remote-5-to-8-years-221222501108,5-8 Yrs,Not disclosed,['remote'],"['Maven', 'Docker', 'CloudWatch', 'Git', 'HTML', 'EC2', 'CSS', 'SSM']",software-developer,,46
Sr Software Engineer Mobile Developer,Madhees,https://www.naukri.com/job-listings-sr-software-engineer-mobile-developer-madhees-hyderabad-secunderabad-6-to-11-years-090321500279,6-11 Yrs,Not disclosed,['Hyderabad'],"['github', 'Front end', 'GIT', 'Concept design', 'Mobile development', 'Javascript', 'Technical leadership', 'Data structures']",software-developer,,47
Software developer,CRB Tech Solution,https://www.naukri.com/job-listings-software-developer-crb-tech-solution-pune-delhi-ncr-mumbai-all-areas-0-to-1-years-130223001287,0-1 Yrs,"2,00,000 - 4,25,000 PA.","['Pune', 'Delhi / NCR', 'Mumbai (All Areas)']","['C++', 'software development', 'data structures', 'computer science', 'data', 'science', 'programming', 'information technology']",software-developer,,48
Software Developer,Health Total,https://www.naukri.com/job-listings-software-developer-anjali-mukerjee-health-total-pvt-ltd-mumbai-4-to-9-years-230123005734,4-9 Yrs,Not disclosed,['Permanent Remote'],"['.net developer', 'Dot net developer', '.Net', 'Net Application', 'Dot net application', 'Dot net programmer', 'Net Programming']",software-developer,,49
SOFTWARE DEVELOPER/ENGINEER[.NET],Myospaz Software Technologies,https://www.naukri.com/job-listings-software-developer-engineer-net-myospaz-software-technologies-pune-0-to-3-years-300421500602,0-3 Yrs,Not disclosed,['Pune'],"['sql', 'engineering', 'bootstrap', 'oops', 'vb', 'asp.net', 'jquery', 'software development']",software-developer,,50
Software Developer,Samara It Systems,https://www.naukri.com/job-listings-software-developer-samara-it-systems-pune-ahmedabad-mumbai-all-areas-0-to-5-years-140223007292,0-5 Yrs,"7,00,000 - 17,00,000 PA.","['Temp. WFH - Pune', 'Ahmedabad', 'Mumbai (All Areas)']","['Software Quality Assurance', 'Software Developer', 'Software Services', 'Technology', 'Software Engineering', 'quality assurance', 'sql', 'operating systems']",software-developer,,51
C# Software Developer,Siemens,https://www.naukri.com/job-listings-c-software-developer-siemens-limited-bangalore-bengaluru-0-to-5-years-130223500243,0-5 Yrs,Not disclosed,['Bangalore/Bengaluru'],"['consulting', 'software', 'microsoft windows', 'debugging', 'coding', 'architectural design', 'analytics', 'design']",software-developer,,52
Software Developer PL10,Siemens,https://www.naukri.com/job-listings-software-developer-pl10-siemens-limited-bangalore-bengaluru-0-to-7-years-110223501000,0-7 Yrs,Not disclosed,['Bangalore/Bengaluru'],"['winforms', 'git', 'digital', 'oops', 'analytical', 'development', 'analytics', 'software']",software-developer,,53
Software Developer- C#,Siemens,https://www.naukri.com/job-listings-software-developer-c-siemens-limited-bangalore-bengaluru-0-to-5-years-110223500999,0-5 Yrs,Not disclosed,['Bangalore/Bengaluru'],"['c#', 'technology', 'management', 'scrum', 'automation', 'architecture', 'estimation', 'effort estimation']",software-developer,,54
Software Developer,Siemens,https://www.naukri.com/job-listings-software-developer-siemens-limited-bangalore-bengaluru-0-to-5-years-110223500995,0-5 Yrs,Not disclosed,['Bangalore/Bengaluru'],"['software testing', 'visual studio', 'mvc', 'selenium', 'simulation', 'studio', 'visual', 'application development']",software-developer,,55
Software Developer - Fresher,Codenera,https://www.naukri.com/job-listings-software-developer-fresher-codenera-pune-0-to-1-years-100223006508,0-1 Yrs,"3,25,000 - 8,25,000 PA.",['Pune'],"['Java', '.net', 'jquery', 'javas', 'algorithms', 'java servlet', 'dbase', 'html']",software-developer,,56
Software Developer,Semantic Technologies And Agritech Services Pvt Ltd ,https://www.naukri.com/job-listings-software-developer-semantic-technologies-and-agritech-services-pvt-ltd-pune-0-to-1-years-070223006127,0-1 Yrs,"1,00,000 - 3,00,000 PA.",['Pune(Senapati Bapat Road)'],"['c#', 'asp.net', 'mvc', 'software', 'jquery', 'cs', 'sql', 'javascript']",software-developer,,57
Senior Software Developer,Hexagon Capability Center India Pvt.Ltd.,https://www.naukri.com/job-listings-senior-software-developer-hexagon-capability-center-india-pvt-ltd-hyderabad-secunderabad-4-to-8-years-210123500826,4-8 Yrs,Not disclosed,['Hyderabad/Secunderabad'],"['React JS', 'Typescript', 'OOPS', 'HTML5', 'communication', 'GIT', 'HTML', 'javascript']",software-developer,,58
Software Developer : Btech / MCA / MTech / BSc Freshers & Experienced,Canvas Facilities,https://www.naukri.com/job-listings-software-developer-btech-mca-mtech-bsc-freshers-experienced-canvas-facilities-pune-chennai-mumbai-all-areas-0-to-5-years-080223011327,0-5 Yrs,"3,00,000 - 6,00,000 PA.","['Hybrid - Pune', 'Chennai', 'Mumbai (All Areas)']","['software', 'Front End Development', 'software development', 'freshers', 'IT', 'jquery', 'javas', 'java']",software-developer,,59
Software Developers,Grideb Services,https://www.naukri.com/job-listings-software-developers-grideb-services-mumbai-hyderabad-secunderabad-pune-chennai-0-to-2-years-301222501427,0-2 Yrs,Not disclosed,"['Mumbai', 'Hyderabad/Secunderabad', 'Pune', 'Chennai']","['management', 'software development', 'application', 'marketing', 'accounting', 'development', 'content management', 'software']",software-developer,,60
Opening For Software Developer Fresher @ Paud Pune,SQUAD Infotech Private Ltd,https://www.naukri.com/job-listings-opening-for-software-developer-fresher-paud-pune-squad-infotech-private-ltd-pune-0-to-0-years-291118600561,0-0 Yrs,Not disclosed,['Pune'],"['php', 'software development', 'software', '.net', 'development', 'android', 'java']",software-developer,,61
Software Developer,AV Information Technology,https://www.naukri.com/job-listings-software-developer-av-information-technology-pune-0-to-1-years-180123912676,0-1 Yrs,Not disclosed,['Pune'],"['software development', 'cs', 'jquery', 'html', 'software', 'css', 'development', 'software testing']",software-developer,,62
Freshers / Trainee Software Developer,Blue Flame Labs,https://www.naukri.com/job-listings-freshers-trainee-software-developer-blue-flame-labs-pune-0-to-1-years-130123500644,0-1 Yrs,Not disclosed,['Pune'],"['c', 'salesforce', 'c++', 'jquery', 'analytical', 'software development', 'html', 'software']",software-developer,,63
Software Developer,Turtlemint,https://www.naukri.com/job-listings-software-developer-primohunt-corporate-pune-0-to-10-years-110722501045,0-10 Yrs,Not disclosed,['Pune'],"['ubuntu', 'javascript', 'oracle', 'mysql', 'social networking', 'jquery', 'postgresql', 'software development']",software-developer,,64
Software Developer,LPU,https://www.naukri.com/job-listings-software-developer-lpu-phagwara-0-to-5-years-160123000808,0-5 Yrs,Not disclosed,['Phagwara'],"['Dotnet Development', 'Ionic Framework', 'SQL', 'framework', 'sql database', 'software development', 'software', 'dbms']",software-developer,,65
Software Developer,Siemens,https://www.naukri.com/job-listings-software-developer-siemens-limited-chennai-0-to-5-years-101222500623,0-5 Yrs,Not disclosed,['Chennai'],"['management', 'programming', 'access', 'postgresql', 'analytical', 'software development', 'technology management', 'html']",software-developer,,66
Software Developer,Hi Tech,https://www.naukri.com/job-listings-software-developer-hi-tech-company-chennai-0-to-1-years-050918501201,0-1 Yrs,Not disclosed,['Chennai'],"['application programming', 'c++', 'management', 'programming', 'computer', 'autocad', 'oops', 'vb']",software-developer,,67
JUNIOR SOFTWARE DEVELOPER,Godigi Infotech,https://www.naukri.com/job-listings-junior-software-developer-godigi-infotech-pune-0-to-2-years-040122501274,0-2 Yrs,Not disclosed,['Pune'],"['php', 'python', 'asp.net', 'software development', 'software', 'development']",software-developer,,68
Software Developer,Kores,https://www.naukri.com/job-listings-software-developer-kores-navi-mumbai-0-to-5-years-020322007629,0-5 Yrs,"2,00,000 - 7,00,000 PA.",['Navi Mumbai'],"['software', 'development', 'software development']",software-developer,,69
HMI- Software Developer,Randstad,https://www.naukri.com/job-listings-hmi-software-developer-randstad-pune-4-to-8-years-160223003782,4-8 Yrs,Not disclosed,['Pune'],"['Embedded C', 'CAN', 'QT', 'Microcontroller', 'HMI', 'clustering', 'software development', 'c']",software-developer,,70
Junior Software Developer,Cyber Infrastructure,https://www.naukri.com/job-listings-junior-software-developer-cyber-infrastructure-p-limited-indore-1-to-3-years-060619500820,1-3 Yrs,Not disclosed,['Indore'],"['OOPS', 'JQuery', 'testing', 'Drupal 7', 'GIT', 'MySQL', 'Drupal 8', 'CSS']",software-developer,,71
